(10,10,0.079013),
(10,20,0.097548),
(10,30,0.144756),
(10,40,0.191328),
(10,50,0.237233),
(10,60,0.285636),
(10,70,0.329572),
(10,80,0.372906),
(10,90,0.410038),
(10,100,0.434409),
(11,10,0.093671),
(11,20,0.097583),
(11,30,0.142285),
(11,40,0.188083),
(11,50,0.235197),
(11,60,0.280044),
(11,70,0.324742),
(11,80,0.366986),
(11,90,0.403560),
(11,100,0.429399),
(12,10,0.092810),
(12,20,0.095098),
(12,30,0.140059),
(12,40,0.185542),
(12,50,0.230626),
(12,60,0.276627),
(12,70,0.320022),
(12,80,0.361686),
(12,90,0.397622),
(12,100,0.420444),
(13,10,0.097296),
(13,20,0.094269),
(13,30,0.142643),
(13,40,0.183666),
(13,50,0.228242),
(13,60,0.271113),
(13,70,0.315660),
(13,80,0.355766),
(13,90,0.389945),
(13,100,0.413100),
(14,10,0.098729),
(14,20,0.092944),
(14,30,0.136502),
(14,40,0.181454),
(14,50,0.224365),
(14,60,0.268405),
(14,70,0.309035),
(14,80,0.353144),
(14,90,0.383178),
(14,100,0.405691),
(15,10,0.096737),
(15,20,0.092308),
(15,30,0.134489),
(15,40,0.177267),
(15,50,2.000000),
(15,60,0.264712),
(15,70,0.304297),
(15,80,0.342785),
(15,90,0.376884),
(15,100,0.397862),
(16,10,0.088190),
(16,20,0.090590),
(16,30,0.132290),
(16,40,0.175662),
(16,50,0.217460),
(16,60,0.259215),
(16,70,0.300454),
(16,80,0.337795),
(16,90,0.369493),
(16,100,0.390649),
(17,10,0.086502),
(17,20,0.089614),
(17,30,0.134802),
(17,40,0.172373),
(17,50,0.213873),
(17,60,0.254440),
(17,70,0.294212),
(17,80,0.331339),
(17,90,0.361744),
(17,100,0.382900),
(18,10,0.102098),
(18,20,0.088572),
(18,30,0.129123),
(18,40,0.170200),
(18,50,0.210920),
(18,60,0.251114),
(18,70,0.288314),
(18,80,0.326201),
(18,90,0.356082),
(18,100,0.375471),
(19,10,0.084313),
(19,20,0.087648),
(19,30,0.126887),
(19,40,0.167314),
(19,50,0.207625),
(19,60,0.246924),
(19,70,0.283460),
(19,80,0.317522),
(19,90,0.349026),
(19,100,0.368379),
(20,10,0.099528),
(20,20,0.086364),
(20,30,0.125543),
(20,40,0.165008),
(20,50,0.202490),
(20,60,0.242153),
(20,70,0.278770),
(20,80,0.312487),
(20,90,0.340741),
(20,100,0.359740),
