(1000,1,153.000000),
(1000,2,287.000000),
(1000,3,446.000000),
(1000,4,578.000000),
(1000,5,710.000000),
(1200,1,171.000000),
(1200,2,345.000000),
(1200,3,503.000000),
(1200,4,657.000000),
(1200,5,809.000000),
(1400,1,190.000000),
(1400,2,375.000000),
(1400,3,551.000000),
(1400,4,721.000000),
(1400,5,891.000000),
(1600,1,205.000000),
(1600,2,402.000000),
(1600,3,591.000000),
(1600,4,776.000000),
(1600,5,961.000000),
(1800,1,218.000000),
(1800,2,426.000000),
(1800,3,626.000000),
(1800,4,826.000000),
(1800,5,1027.000000),
(2000,1,229.000000),
(2000,2,446.000000),
(2000,3,659.000000),
(2000,4,871.000000),
(2000,5,1082.000000),
(2200,1,239.000000),
(2200,2,467.000000),
(2200,3,689.000000),
(2200,4,913.000000),
(2200,5,1133.000000),
(2400,1,250.000000),
(2400,2,486.000000),
(2400,3,717.000000),
(2400,4,951.000000),
(2400,5,1182.000000),
(2600,1,258.000000),
(2600,2,503.000000),
(2600,3,745.000000),
(2600,4,988.000000),
(2600,5,1229.000000),
(2800,1,267.000000),
(2800,2,519.000000),
(2800,3,770.000000),
(2800,4,1022.000000),
(2800,5,1269.000000),
(3000,1,275.000000),
(3000,2,537.000000),
(3000,3,794.000000),
(3000,4,1052.000000),
(3000,5,1310.000000),
(3200,1,282.000000),
(3200,2,550.000000),
(3200,3,814.000000),
(3200,4,1079.000000),
(3200,5,1345.000000),
(3400,1,289.000000),
(3400,2,561.000000),
(3400,3,834.000000),
(3400,4,1105.000000),
(3400,5,1375.000000),
(3600,1,294.000000),
(3600,2,574.000000),
(3600,3,850.000000),
(3600,4,1127.000000),
(3600,5,1403.000000),
(3800,1,296.000000),
(3800,2,581.000000),
(3800,3,862.000000),
(3800,4,1143.000000),
(3800,5,1424.000000),
(4000,1,300.000000),
(4000,2,585.000000),
(4000,3,871.000000),
(4000,4,1155.000000),
(4000,5,1439.000000),
(4200,1,303.000000),
(4200,2,590.000000),
(4200,3,878.000000),
